pilot,records,peaks
Roger Zimmermann,2,Rotstein;Geiss-Chopf
Roland Zwahlen,2,Homad;Solhore
Rolf Ulrich,2,Niederhorn;Flöschhorn
Rolf von Arx,2,Gross Storchen;Scheideggstock
Ruedi Schlatter,2,Chli Höch;Siwellen
Samuel Federer,2,Chemmi;St. Anton
Samuel Landolt,2,Vasanachopf;Stelli
Samuel Zurbriggen,2,Üssers Barrhorn;Üssers Barrhorn Nord
Sascha Stalder,2,Gustispitz;Chrummenfadenflüe
Sebastian Huber,2,Theodulhorn;Calmut
Sebastian Schlegel,2,Gauschla;Tschugga
Sepp Inniger,2,Hoher Kasten;Selibüel
Silvio Erard,2,La Riondaz;Rellerligrat
Simon Grossenbacher,2,La Chaux;Kaiseregg
Simon Heimgartner,2,Rothore;Pointe de Chavanette
Simon METTETAL,2,Bündner Vorab;Le Meix Musy
Stefan Hofer,2,Morgenberghorn;Homädli
Stefan Lauth,2,Ochsenhorn;Schönbüel
Sylvain Freiholz,2,Le Suchet;Dent de Vaulion
Thomas Kamps,2,Geissberg;Zweierspitz
Thomas Koster,2,Hinterrugg;Chäserrugg
Thomas Zwicky,2,Pfäwi;Gulmen
Toni Wachter,2,Rappakopf;Fadeuer
Topper Harley,2,Schwyberg;Gross Schwyberg
Tzak Garnett Leevers,2,Piz Pazzola;Furggabüel
Urs Estermann,2,Hahnen;Hörnli
Werner Juergens,2,Musflue;Regenflüeli
Yann CADIC,2,Le Chasseron;Crêt de Courti
Yann Fischer,2,Sex de Marinda;Iffighorn
Yves Kübler,2,Becs de Bosson;Croix de Javerne
chammartin fabrice,2,Hochmatt;Corbetta
gael sahli,2,Dents Rousses;Dents Rousses
jacques vuffray,2,La Dôle;La Barillette
melchior lindenstruth,2,Hochalp;Hohe Buche
simon oberrauner,2,Pizzo Predelp W;Cima di Cugn
Adrian Hachen,1,Meisengütsch
Adrian Kyburz,1,Chäserenstöckli
Alain Woeffray,1,Tête des Planards
Albert Caillet-Bois,1,Croix du Culet
Albert Holler,1,Sparrhorn
Albert Manser,1,Lütscherligütsch
Ale Bisi,1,Caval Drossa
Alex Pugni,1,Sass d'Argent
Alexander Vikulin,1,Piz Clünas
Alfred Stübi,1,Chastelendossen
Amedee Julen,1,Hirli
Andi Meier,1,Jägglisch Horn
Andre Kauert,1,Mött
Andrea Broi,1,Le Paradis
Andrea Ferrari,1,Monte Paglione
Andrea Habegger,1,Pointe de Poêle Chaud
Andrea Noseda,1,Monte Bisbino
Andreas Birenstihl,1,Looherehürli
Andreas Burkard,1,Piz Segnas
Andreas Fluck,1,Seefeldstock
Andreas Graber,1,Sigriswiler Rothorn
Andreas Koch,1,Storegghorn
Andreas Lusti,1,Alplispitz
Andreas Schär,1,Hornegg
Andrew Forbes,1,Piz Acletta
Andrey Ch,1,Le Cheval Blanc
André Glauser,1,Bundstock
Andy Hirsbrunner,1,Furggeli
Andy Jäggi,1,Hockenhorn
Andy Nussbaumer,1,Dom
Andy Ross,1,Üssere Fisistock
Anita Künzler,1,Monte Rovrè
Armin Walder,1,Chalberstock
Barbara M. Henggeler,1,Laucherenstock
Beat Grau,1,Pizzo di Campello
Beat Reichmuth,1,Wyss Rössli
Beat Ritzmann,1,Fil de Cassons
Beat Zwahlen,1,Lueglespitz
Bendicht Erb,1,Frilihorn
Benjamin Becker,1,Riederhorn
Benjamin Herger,1,Urirotstock
Benjamin Meienberg,1,Gräfimattnollen
Benjamin Solioz,1,Pointe des Semeleys
Benno Bachmann,1,Lauwistock
Bernhard Meier,1,Schlüechtli
Björn Hjelmland,1,Hochstuckli
Bruno Feurer,1,Fuggstock
Bruno Jäger,1,Höhi Egg
Bruno Rankwiler,1,Stubeflue
Bruno Wiget,1,Planggenstock
Bryan Moore,1,Mont Rogneux
Bärtschi Christian,1,Albristhorn
Calina Pletosu,1,Le Biolet
Carel Luebbig,1,Uschafetta
Catherine Baron,1,Mel de la Niva
Catherine Bartholdi,1,Tête du Portail
Cedric Hofer,1,Birespitz
Charles Ingold,1,Chly Chastelhorn
Chrigel Rikenmann,1,Balmfluechöpfli
